,Symbol,SymbolDate,UpdateDate,DelayDate,SymbolVal,Tag,ValStr
0,轻纺城棉布日成交量|DZ,2014-06-20,2021-11-23,,35.0,,
78,轻纺城棉布日成交量|DZ,2014-09-06,2021-11-23,,60.0,,
79,轻纺城棉布日成交量|DZ,2014-09-07,2021-11-23,,44.0,,
80,轻纺城棉布日成交量|DZ,2014-09-08,2021-11-23,,25.0,,
81,轻纺城棉布日成交量|DZ,2014-09-09,2021-11-23,,22.0,,
82,轻纺城棉布日成交量|DZ,2014-09-10,2021-11-23,,29.0,,
83,轻纺城棉布日成交量|DZ,2014-09-11,2021-11-23,,33.0,,
84,轻纺城棉布日成交量|DZ,2014-09-12,2021-11-23,,37.0,,
85,轻纺城棉布日成交量|DZ,2014-09-13,2021-11-23,,51.0,,
86,轻纺城棉布日成交量|DZ,2014-09-14,2021-11-23,,38.0,,
87,轻纺城棉布日成交量|DZ,2014-09-15,2021-11-23,,26.0,,
88,轻纺城棉布日成交量|DZ,2014-09-16,2021-11-23,,30.0,,
89,轻纺城棉布日成交量|DZ,2014-09-17,2021-11-23,,35.0,,
90,轻纺城棉布日成交量|DZ,2014-09-18,2021-11-23,,34.0,,
91,轻纺城棉布日成交量|DZ,2014-09-19,2021-11-23,,35.0,,
92,轻纺城棉布日成交量|DZ,2014-09-20,2021-11-23,,52.0,,
93,轻纺城棉布日成交量|DZ,2014-09-21,2021-11-23,,39.0,,
94,轻纺城棉布日成交量|DZ,2014-09-22,2021-11-23,,33.0,,
95,轻纺城棉布日成交量|DZ,2014-09-23,2021-11-23,,36.0,,
96,轻纺城棉布日成交量|DZ,2014-09-24,2021-11-23,,41.0,,
97,轻纺城棉布日成交量|DZ,2014-09-25,2021-11-23,,45.0,,
98,轻纺城棉布日成交量|DZ,2014-09-26,2021-11-23,,54.0,,
99,轻纺城棉布日成交量|DZ,2014-09-27,2021-11-23,,77.0,,
100,轻纺城棉布日成交量|DZ,2014-09-28,2021-11-23,,49.0,,
101,轻纺城棉布日成交量|DZ,2014-09-29,2021-11-23,,57.0,,
102,轻纺城棉布日成交量|DZ,2014-09-30,2021-11-23,,65.0,,
103,轻纺城棉布日成交量|DZ,2014-10-01,2021-11-23,,68.0,,
104,轻纺城棉布日成交量|DZ,2014-10-02,2021-11-23,,60.0,,
105,轻纺城棉布日成交量|DZ,2014-10-03,2021-11-23,,53.0,,
106,轻纺城棉布日成交量|DZ,2014-10-04,2021-11-23,,52.0,,
107,轻纺城棉布日成交量|DZ,2014-10-05,2021-11-23,,44.0,,
108,轻纺城棉布日成交量|DZ,2014-10-06,2021-11-23,,41.0,,
109,轻纺城棉布日成交量|DZ,2014-10-07,2021-11-23,,39.0,,
110,轻纺城棉布日成交量|DZ,2014-10-08,2021-11-23,,37.0,,
111,轻纺城棉布日成交量|DZ,2014-10-09,2021-11-23,,41.0,,
112,轻纺城棉布日成交量|DZ,2014-10-10,2021-11-23,,42.0,,
113,轻纺城棉布日成交量|DZ,2014-10-11,2021-11-23,,45.0,,
